No OMP
Network, states, time (ns), G states/s
passo_tlf_3passo_bool_5, 10000000, 796831528.66666662693023681641, 0.01254970422258885714
passo_tlf_5, 1000, 269432.66666666668606922030, 0.00371150244093143827
passo_tlf_5, 10000, 2791362.00000000000000000000, 0.00358248052384463203
passo_tlf_5, 100000, 21928757.00000000000000000000, 0.00456022199525490685
passo_tlf_5, 1000000, 127407550.00000000000000000000, 0.00784882842500307133
passo_tlf_5, 10000000, 1059407930.33333337306976318359, 0.00943923460800750146
passo_bool_6, 1000, 265041.00000000000000000000, 0.00377300115831135556
passo_bool_6, 10000, 1338573.33333333325572311878, 0.00747064038329365611
passo_bool_6, 100000, 10336460.66666666604578495026, 0.00967449141682346324
passo_bool_6, 1000000, 96564256.00000000000000000000, 0.01035579873364322369
passo_bool_6, 10000000, 1002712641.00000000000000000000, 0.00997294697514439742
passo_tlf_6, 1000, 251385.00000000000000000000, 0.00397796209002128191
passo_tlf_6, 10000, 2621335.66666666651144623756, 0.00381484909665009237
passo_tlf_6, 100000, 21063118.00000000000000000000, 0.00474763517917907527
passo_tlf_6, 1000000, 107494776.33333332836627960205, 0.00930277762427333434
passo_tlf_6, 10000000, 977229969.66666662693023681641, 0.01023300585368969173
passo_bool_7, 1000, 274843.00000000000000000000, 0.00363844085532467627
passo_bool_7, 10000, 2680456.33333333348855376244, 0.00373070804237437669
passo_bool_7, 100000, 20816120.66666666790843009949, 0.00480396907768373439
passo_bool_7, 1000000, 122560897.33333332836627960205, 0.00815920919116856422
passo_bool_7, 10000000, 1025016211.00000000000000000000, 0.00975594326478413168
passo_tlf_7passo_bool_8, 1000, 247746.33333333334303461015, 0.00403638668046213921
passo_tlf_7passo_bool_8, 10000, 2540923.33333333348855376244, 0.00393557722455222924
passo_tlf_7passo_bool_8, 100000, 21373939.66666666790843009949, 0.00467859466057879599
passo_tlf_7passo_bool_8, 1000000, 101562316.66666667163372039795, 0.00984617161975594873
passo_tlf_7passo_bool_8, 10000000, 970092427.00000000000000000000, 0.01030829611867488567
passo_tlf_8, 1000, 268360.66666666668606922030, 0.00372632849821508821
passo_tlf_8, 10000, 2634235.00000000000000000000, 0.00379616852710559219
passo_tlf_8, 100000, 21924363.66666666790843009949, 0.00456113579944114177
passo_tlf_8, 1000000, 105803744.00000000000000000000, 0.00945146137739700382
passo_tlf_8, 10000000, 1130624236.66666674613952636719, 0.00884467153249981347
passo_bool_9, 1000, 403853.33333333331393077970, 0.00247614645580903963
passo_bool_9, 10000, 4033106.66666666651144623756, 0.00247947818555092382
passo_bool_9, 100000, 29754989.00000000000000000000, 0.00336078094332348774
passo_bool_9, 1000000, 154366988.00000000000000000000, 0.00647806900268080646
passo_bool_9, 10000000, 1554216115.00000000000000000000, 0.00643411164218947798
passo_tlf_9, 1000, 146776.00000000000000000000, 0.00681310295961192608
passo_tlf_9, 10000, 3928726.00000000000000000000, 0.00254535439732880321
passo_tlf_9, 100000, 14889584.00000000000000000000, 0.00671610435859054233
passo_tlf_9, 1000000, 147162853.00000000000000000000, 0.00679519307769875860
passo_tlf_9, 10000000, 1491176374.66666674613952636719, 0.00670611482980031180
(null), 1000, 263398.66666666668606922030, 0.00379652643141701511
(null), 10000, 2723272.33333333348855376244, 0.00367205287462375220
(null), 100000, 21782565.33333333209156990051, 0.00459082750216625868
(null), 1000000, 108218065.66666667163372039795, 0.00924060131586717202
(null), 10000000, 1018968050.66666662693023681641, 0.00981385038859406214
(null), 1000, 285851.33333333331393077970, 0.00349832197156097488
(null), 10000, 2889963.00000000000000000000, 0.00346025191325978910
(null), 100000, 23394318.66666666790843009949, 0.00427454209822681133
(null), 1000000, 130140854.33333332836627960205, 0.00768398213706721674
(null), 10000000, 1103659689.00000000000000000000, 0.00906076401962344416
No OMP With O3
Network, states, time (ns), G states/s
passo_bool_1, 1000, 31519.33333333333212067373, 0.03172655936039256441
passo_bool_1, 10000, 281617.33333333331393077970, 0.03550917793885793178
passo_bool_1, 100000, 3656340.33333333348855376244, 0.02734975163234713499
passo_bool_1, 1000000, 23976917.66666666790843009949, 0.04170677874038104110
