No OMP With O3
Network, states, time (ns), G states/s
passo_bool_1, 10000000, 163266042.00000000000000000000, 0.06124972393218180988
passo_tlf_1, 10000000, 216768536.00000000000000000000, 0.04613215637531454388
passo_bool_2, 10000000, 309923194.00000000000000000000, 0.03226605879649007552
passo_tlf_2, 10000000, 377383580.00000000000000000000, 0.02649823821163602156
passo_bool_3, 10000000, 376003410.66666668653488159180, 0.02659550343511422887
passo_tlf_3passo_bool_5, 10000000, 370140679.00000000000000000000, 0.02701675489172590885
