Bool,,,
Network, states, time (ns), G states/s
passo_bool_1,10000000, Tempo: 111.33333333333332859638, M Estados/s: 89.82035928143713476857
passo_bool_2,10000000, Tempo: 245.00000000000000000000, M Estados/s: 40.81632653061225113333
passo_bool_3,10000000, Tempo: 302.33333333333331438553, M Estados/s: 33.07607497243660077402
passo_bool_5,10000000, Tempo: 268.00000000000000000000, M Estados/s: 37.31343283582089753736
passo_bool_6,10000000, Tempo: 369.00000000000000000000, M Estados/s: 27.10027100271002709064
passo_bool_7,10000000, Tempo: 310.66666666666668561447, M Estados/s: 32.18884120171673401956
passo_bool_8,10000000, Tempo: 411.66666666666668561447, M Estados/s: 24.29149797570850211059
passo_bool_9,10000000, Tempo: 131.33333333333334280724, M Estados/s: 76.14213197969542079591
TLF without AVX,,,
Network, states, time (ns), G states/s
passo_tlf_1,10000000, Tempo: 164.66666666666665719276, M Estados/s: 60.72874493927125882919
passo_tlf_2,10000000, Tempo: 298.00000000000000000000, M Estados/s: 33.55704697986577400570
passo_tlf_3,10000000, Tempo: 292.66666666666668561447, M Estados/s: 34.16856492027334724071
passo_tlf_5,10000000, Tempo: 342.00000000000000000000, M Estados/s: 29.23976608187134473837
passo_tlf_6,10000000, Tempo: 463.33333333333331438553, M Estados/s: 21.58273381294964110566
passo_tlf_7,10000000, Tempo: 414.33333333333331438553, M Estados/s: 24.13515687851971236455
passo_tlf_8,10000000, Tempo: 710.33333333333337122895, M Estados/s: 14.07789770061004119839
passo_tlf_9,10000000, Tempo: 384.33333333333331438553, M Estados/s: 26.01908065915004542035
TLF with AVX,,,
Network, states, time (ns), G states/s
passo_tlf_1,10000000, Tempo: 82.00000000000000000000, M Estados/s: 121.95121951219512368425
passo_tlf_2,10000000, Tempo: 142.66666666666665719276, M Estados/s: 70.09345794392524453542
passo_tlf_3,10000000, Tempo: 117.33333333333332859638, M Estados/s: 85.22727272727273373221
passo_tlf_5,10000000, Tempo: 162.00000000000000000000, M Estados/s: 61.72839506172839207920
passo_tlf_6,10000000, Tempo: 224.33333333333334280724, M Estados/s: 44.57652303120356407362
passo_tlf_7,10000000, Tempo: 177.00000000000000000000, M Estados/s: 56.49717514124293415989
passo_tlf_8,10000000, Tempo: 288.66666666666668561447, M Estados/s: 34.64203233256350955571
passo_tlf_9,10000000, Tempo: 220.33333333333334280724, M Estados/s: 45.38577912254159940630
